,character,episode,line
38,GEORGE,1," [The waitress(Claire) passes the table; George stops her 
              and writes something on his note-block] Claire, Claire, you're a 
              woman, right?"
39,CLAIRE,1," What gave it away, George?"
40,GEORGE,1," Uhm...I'd like to ask you...ask you to analyze a hypothetical 
              phone call, ya know, from a female point of view."
41,JERRY,1," [to George] Oh, come on now, what are you asking her? Now, 
              how is she gonna know?"
42,GEORGE,1," [to Claire] Now, a woman calls me, all right? She says 
              she has to [makes some gestures to accent ""has to""] come 
              to New York on business..."
43,JERRY,1, Oh you are beautiful! [ironically] 
44,GEORGE,1," and, and maybe [again some gestures] she'll see me when 
              she gets there, does this woman intend to spend time with me?"
45,GEORGE,1, [to Claire] So why did she call?
46,CLAIRE,1, To be polite.
47,GEORGE,1," To be polite, I rest my case."
48,JERRY,1," Good. Did you have fun? You have no idea, what you're talking 
              about, now, come on, come with me [stands up], I, I gotta go get 
              my stuff out of the dryer anyway."
49,GEORGE,1, I'm not gonna watch you do laundry.
50,JERRY,1," Oh, come on, be a ""come-with-guy""."
51,GEORGE,1," Come on, I'm tired."
52,GEORGE,1," [takes off his glasses and rubs his eyes; panics] Right, 
              I knew I felt something...! [Jerry is laughing, Claire walks away 
              with a smile]"
53,[Scene,1," Laundry. Jerry and George are there; George is staring 
              at one of the dryers]"
54,GEORGE,1," I need a break, Jerry, ya know, I gotta get out of the 
              city, I feel so cramped..."
55,JERRY,1, And you didn't even hear how she sounded.
56,GEORGE,1, What?!
57,JERRY,1, Laura.
58,JERRY,1," Yeah, but how could you be so sure?"
59,GEORGE,1," [gets up] 'Cause it's signals, Jerry [starts snapping his 
              fingers], it's signals! Don't you....all right. Did she even ask 
              you, what you were doin' tomorrow night, if you were busy?"
60,JERRY,1, No.
61,GEORGE,1," She calls you today and she doesn't make a plan for tomorrow? 
              What is that? It's Saturday night!"
62,JERRY,1, Yeah.
63,GEORGE,1," What is that? It's ridiculous! [Jerry bobs agreeingly] 
              You don't even know, what hotel she's staying at, you can't call 
              her. That's a signal, Jerry, that's a signal! [snaps his fingers 
              again] Signal!"
64,JERRY,1, Maybe you're right.
65,GEORGE,1, Maybe I'm right? Of course I'm right.
66,JERRY,1," This is insane. You know, I don't even know where she's 
              staying! She, she's not gonna call me, this is unbelievable."
67,GEORGE,1," [puts an arm around Jerry and whispers] I know, I know. 
              [normal voice] Listen, your stuff has to be done by know, why don't 
              you just see if it's dried?"
68,JERRY,1," No no no, don't interrupt the cycle. The machine is working, 
              it, it knows what it's doing, just let it finish."
69,GEORGE,1," You're gonna ""overdry"" it."
70,JERRY,1," You, you can't ""overdry""."
71,GEORGE,1, Why not?
72,GEORGE,1," [looks at the other persons in the laundry and says to 
              them pointing to Jerry] Any questions?"
73,[Scene,1, Comedy club]
74,[Scene,1, Jerry's apartment. Jerry is watching TV]
75,KRAMER,1, [enters] Are you up?
76,JERRY,1," [To Kramer] Yeah...[in the phone] Yeah, people do move! 
              Have you ever seen the big trucks out on the street? Yeah, no problem 
              [hangs up the phone]."
77,KRAMER,1," Boy, the Mets blew it tonight, huh? "
78,JERRY,1," [upset] Ooohhhh, what are you doing? Kramer, it's a tape! 
              [actually I can't understand the name; maybe ""Kramer"" 
              wasn't named ""Kramer"" in the pilot!] I taped the game, 
              it's one o'clock in the morning! I avoided human contact all night 
              to watch this."
79,KRAMER,1," Hey, I'm sorry, I...ya know, I, I thought you knew...[takes 
              two loaves of bread out of his pockets] You got any meat?"
80,JERRY,1," [a little irritated] Meat? I don't, I don't know, go...hunt! 
              [Kramer walks to the refrigerator and sticks his head in] Well what, 
              what happened in the game anyway?"
81,KRAMER,1," [still with his head in the refrigerator] What happened? 
              Well, they STUNK, that's what happened! [takes some meat from the 
              refrigerator and closes it] Ya know, I almost wound up going to 
              that game."
82,JERRY,1," [cynical] Yeah you almost went to the game. You haven't 
              been out of the building in ten years!"
83,JERRY,1, No.
84,KRAMER,1," [glues the article back with his own saliva and puts the 
              magazine back on the table] When you're done, let me know."
85,JERRY,1," Yeah, yeah...you can have it tomorrow."
86,KRAMER,1, I thought I wasn't allowed to be in here this weekend.
87,JERRY,1," No, it's OK now, that, that girl is not comin' uh, I, I 
              misread the whole thing."
88,KRAMER,1, You want me to talk to her?
89,JERRY,1, I don't think so.
90,KRAMER,1," Oh, I can be very persuasive. Do you know that I was almost... 
              a lawyer. [shows with his fingers how close it was]"
91,JERRY,1," That close, huh?"
92,KRAMER,1," You better believe it. [The phone rings. Jerry picks it 
              up]"
93,JERRY,1," Hello...Oh, hi, Laura."
94,KRAMER,1, Give me it...let me talk to her [continues this way].
95,JERRY,1," [gestures Kramer to shut up] No believe me, I'm always up 
              at this hour. How are you?...great...sure...What time does the plane 
              get in?...I got my friend George to take me...[Kramer suddenly notices 
              something in the Mets-game on TV]..."
96,KRAMER,1, A SLIDE!...Wow!
97,[Scene,1," Jerry's apartment. Jerry and George enter, lifting a heavy 
              mattress]"
98,JERRY,1," If my father was moving this he'd had to have a cigarette 
              in his mouth the whole way. [talks from now on like he has a cigarette 
              in his mouth] Have you got your end?...Your end's got to come down 
              first, easy now, drop it down...drop it down, your end's got to 
              come down."
99,GEORGE,1," Ya know, I can't believe you're bringin' in an extra bed 
              for woman, that wants to sleep with you. Why don't you bring in 
              an extra guy too? [sits down]"
100,JERRY,1," [hands George a beer] Look, it's a very awkward situation, 
              I, I don't wanna be presumptuous."
101,GEORGE,1," All right, all right, one more time, one more time! What 
              was the EXACT phrasing of the request?"
102,JERRY,1," All right, she said she couldn't find a decent hotel- room..."
103,GEORGE,1, A decent hotel-room...
104,JERRY,1," Yeah, a decent hotel-room, would it be terribly inconvenient 
              if she stayed at my place."
105,JERRY,1," [cynical] This is the signal. Thank you, mister Signal, 
              where were you yesterday?"
106,GEORGE,1," I think I was affected by the caffeine. [suddenly a dog 
              enters the apartment and jumps George at the couch] HO, HO, HO, 
              GOOD DOG [etc.]"
107,KRAMER,1," [walks in behind the dog and closes the door] He really 
              likes you, George."
108,GEORGE,1," [ironically] Well, that's flattering. "
109,KRAMER,1," [the dog runs to the bathroom and apparently starts drinking 
              from the toilet] Oh, he's getting' a drink of water. [sees the mattress 
              on the floor] Is this for that girl?"
110,JERRY,1, Yeah.
111,KRAMER,1, Why even give her an option?
112,GEORGE,1," Right, can we go? 'Cause I'm double-parked, I'm gonna get 
              a ticket."
113,JERRY,1," Yeah, OK. Oh, wait a second. Oh, I, I forgot to clean the 
              bathroom."
114,GEORGE,1, So what? That's good.
115,JERRY,1," Now, how could that be good?"
116,JERRY,1, This is how you operate?
117,GEORGE,1," Yeah, I wish."
118,JERRY,1, Let me just wipe the sink.
119,KRAMER,1," [stands up from the couch and yells.] WHY EVEN GIVE HER 
              AN OPTION FOR? [Jerry walks to the bathroom and closes the door; 
              to George, while pointing to the mattress] It's unbelievable."
120,GEORGE,1, Yeah.
121,KRAMER,1, ...How's the real estate-business?
122,GEORGE,1,"...[surprised he asked] It's uh, not bad, it's comin' along...Why? 
              Did you need something."
123,KRAMER,1, Do you handle any of that commercial...real estate?
124,GEORGE,1," Well, I might be getting in to that."
125,KRAMER,1, [slaps George on the arm] You keep me posted!
126,GEORGE,1," I'm aware of you, all right, let's go [opens the bathroom 
              door], let's go! [Jerry and the dog come out] You're on stage in 
              25 minutes."
127,[Scene,1, Comedy club.]
128,[Scene,1, Airport. Jerry and George are waiting for Laura]
129,JERRY,1," Wouldn't it be great if you could ask a woman what she's 
              thinking?"
130,GEORGE,1," What a world that would be, if you just could ask a woman 
              what she's thinkin'."
131,GEORGE,1," Listen, listen, don't get worked up, 'cause you're gonna 
              know the whole story the minute she steps off the plane."
132,JERRY,1, Really? How?
133,GEORGE,1, 'Cause it's all in the greeting. 
134,JERRY,1, Uh-huh.
135,GEORGE,1," All right, if she puts the bags down before she greets 
              you, that's a good sign."
136,JERRY,1, Right.
137,GEORGE,1," Ya know, anything in the, in the ""lip-area"" is 
              good."
138,JERRY,1," ""Lip-area""."
139,JERRY,1, Hug is definitely good.
140,GEORGE,1, Sure.
141,JERRY,1," Although what if it's one of those hugs where the shoulders 
              are touching, the hips are eight feet apart?"
142,GEORGE,1," That's so brutal, I hate that."
143,JERRY,1, Ya know how they do that?
144,GEORGE,1," That's why, ya know, a shake is bad."
145,JERRY,1," Shake is bad, but what if it's the ""two-hander""? 

              The hand on the bottom, the hand on the top, the warm look in the 
              eyes?"
146,GEORGE,1, Hand-sandwich.
147,JERRY,1, Right.
148,GEORGE,1," I see, well, that's open to interpretation. Because so 
              much depends on the layering and the quality of the wetness in the 
              eyes...[suddenly a woman approaches Jerry from behind and puts her 
              hands over Jerry's eyes]"
149,LAURA,1, Guess who?
150,JERRY,1," Hey, hey."
151,LAURA and JERRY,1," Heeeey! [they take each others hands like they're 
              planning to do a folk dance; George is looking puzzled]"
152,JERRY,1, It's good to see you.
153,LAURA,1, Hi.
154,JERRY,1, This is my friend George.
155,LAURA,1," [shakes George's hand] Hi, how nice to meet you."
156,GEORGE,1," Hi, how are you?"
157,JERRY,1, This is Laura.
158,GEORGE,1," Laura, sure."
159,JERRY,1, [to Laura] I can't believe you're here.
160,GEORGE and JERRY,1," Ooh yeah, the bags, sure. [they pick up the bags]"
161,LAURA,1," Oh, thank you."
162,JERRY,1," [privately to George] Now that was an interesting greeting, 
              did you notice that, George?"
163,GEORGE,1," Yes, the ""surprise-blindfold-greeting"". That 
              wasn't in the manual, I don't know."
164,[Scene,1, Jerry's apartment. Jerry shows Laura the apartment]
165,JERRY,1," So uh, what do ya think?"
166,LAURA,1," Ooohhh, wow! This place isn't so bad."
167,JERRY,1," Yeah, it kind a motivates me to work on the road...So uh, 
              make yourself at home. [Laura sits down on the couch, takes off 
              her shoes and opens some buttons of her shirt] So uh, can I get 
              you anything? Uuhhh, bread, water...salad-dressing?"
168,LAURA,1," [laughs] Actually uhm, do you have any wine?"
169,LAURA,1," Oh, do, do you mind if I turn this down? [points to the 
              lamp]"
170,JERRY,1," Uh, no, yeah, go right ahead. [she turns down the lamp]"
171,JERRY,1," Uh, yeah, yeah, sure, why don't you stay? Yeah, uhm...What 
              is your, what is your schedule for tomorrow? Are you, are you doin' 
              anything?"
172,LAURA,1," No, I'd love to do something, uh, I have my seminar in the 
              morning, then after that I'm right open."
173,JERRY,1, Really? What would you like to do?
174,LAURA,1," Well...now I know this sounds touristy, but I'd just love 
              to go on one of those five-hour-boat-rides around Manhattan."
175,JERRY,1," [doubtfully] Yeah, we could do that...why not, why not. 
              [pours the wine] I'm just, I'm really glad you're here. [the phone 
              rings; he picks it up] Yeah, hello...yes...yes, she is, hold on. 
              [to Laura] Uhm, it's for you."
176,LAURA,1," [she takes the phone] Hello?...Hi!...no no it was great, 
              right on time...no, I, I'm gonna stay here tomorrow...yes, yes it's 
              fine..no, we're goin' on a boat-ride...don't be silly...I'm not 
              gonna have this conversation...look I, I'll call you tomorrow...OK, 
              bye [she hangs up the phone]. Never get engaged."
177,JERRY,1, You're engaged?
178,LAURA,1," You, you really have no idea what it's like until you actually 
              do it and I'm on this emotional roller coaster."
179,JERRY,1, You're engaged? [still can't believe it]
180,LAURA,1," Ya know, I can't believe it myself sometimes. You have to 
              start thinking in terms of ""we"", uh, it's a very stressful 
              situation."
181,JERRY,1, You're engaged! [like he's answering his own question]
182,LAURA,1," Yeah...yeah, he's a great guy..."
183,JERRY,1, Yeah.
184,LAURA,1," You'd really like him...ya know, I can't wait to get on 
              that boat."
185,JERRY,1, Me too!
186,[Scene,1, Comedy club.]
187,"e-eeehh, eehhh, eehhh, this man is out of ideas. How does it...? 
              [imitates horn again] e-e-e-eeeehhhh, ""I don't think she likes 
              me""...The amazing thing is, that we still get women, don't 
              we. Men, I mean, men are with women. You see men with women. How 
              are men getting women, many people wonder. Let me tell you a little 
              bit about our organization. ""Where ever women are?"", we 
              have a man working on the situation right now. Now, he may not be 
              our best man, OK, we have a lot of areas to cover, but someone from 
              our staff is on the scene...That's why, I think, men get frustrated, 
              when we see women reading articles, like",1," ""Where to meet men?"". 
              We're here, we are everywhere. We're honking our horns to serve 
              you better."
188,Production Credits,2,
189,Cast,2,
190,With,2,
191,Quotes and Scene summary,2,
192,Jerry,2," So, I'm on line at the supermarket. Two women in front of 
              me. One of"
193,Audience,2, Cheque
194,Jerry,2," Cheque. Now, the fact is, if it's a woman in front of you 
              that's"
195,the cheque book-- the cheque book comes out of a holster,2," [""draws"" 
              imaginary"
196,Jerry,2, What's that one?
197,Jerry,2," Maybe they came back for Chinese food. Y'know Maureen Stapleton, 
              if"
198,Elaine,2," Okay, what're we doing here? I have seen *everything*."
199,Jerry,2, Oh yeah? I don't believe you've seen... this.
200,Elaine,2," Oh, lovely..."
201,Jerry,2, Yeah...
202,Elaine,2, What do you think their parents think?
203,Jerry,2," ""So, uh, what's your son doing now, Dr. Stevens?"""
204,Elaine,2," Y'know what? This would be a really funny gift for Pamela's 
            "
205,Jerry,2, Pamela? Do I know her?
206,Elaine,2," Yeah, you met her when we were going out."
207,Jerry,2," Oh yeah, right..."
208,Elaine,2," You have *no* idea who I'm talking about, do you?"
209,Jerry,2, [quickly] No.
210,Elaine,2," Blonde hair remember? Glasses? [pause] Have you *totally* 
              blocked"
211,Jerry,2, Riverside Drive.
212,Elaine,2," Right! In fact... No, never mind..."
213,Jerry,2," Well, what is it?"
214,Elaine,2," Well, a bunch of people are getting together tomorrow night 
              at some"
215,Jerry,2," Wait a second, wait a second. We could work out a little 
              deal here."
216,Elaine,2, What little deal?
217,Jerry,2," I will go to that, if you go with me to a little family 
              wedding I "
218,Elaine,2," A *wedding*!? Have you *lost* it, man?"
219,Jerry,2," Y'know, my parents are coming in for this..."
220,Elaine,2, They're coming in?
221,Jerry,2," Yeah, tomorrow."
222,Elaine,2," Hey, did your father ever get that hair weave?"
223,Jerry,2," No, no... Still doin' the big *sweep* across."
224,Elaine,2, Why does he do that?
225,Jerry,2, Doesn't think anyone can tell?
226,Jerry,2," So c'mon, do we have a deal?"
227,Elaine,2, A *wedding*?
228,Jerry,2, There's a lot of people to mock...
229,Elaine,2," Alright, what the Hell."
230,Jerry,2, Great!
231,Woman,2," When you're dead, you're dead. That's it. You're not goin'"
232,Elaine,2," C'mon lets go, c'mon..."
233,Jerry,2, Was I supposed to bring something?
234,Elaine,2, You could have.
235,Jerry,2, I met her *one* time...
236,Elaine,2, It is not necessary.
237,Jerry,2, What did you say then?
238,Elaine,2, Sssshhhhhh!!!
239,Pamela,2, Hi
240,Elaine,2," Hi Pamela, you remember Jerry."
241,Pamela,2," Yes, we met."
242,Jerry,2," Hi, happy birthday."
243,Pamela,2," Ahh, everybody, this is Elaine and Jerry."
244,Guests,2, Hi
245,Jerry,2, I didn't bring anything.
246,Pamela,2," Ahh, I put you two right here."
247,Jerry,2," Oh, Okay (turns to rest of table) I'm sorry, I didn't know 
              what"
248,% a strikingly beautiful woman. She speaks,2,
249,Vanessa,2, How big a tip do you think it'd take to get him to stop?
250,Jerry,2, I'm in for five...
251,Vanessa,2, I'll supply the hat.
252,Jerry,2, [To himself] Uh-oh... What do we have here...
253,Vanessa,2, Why don't you relax and take your jacket off?
254,Jerry,2," Oh, I can't-- I have a tendency to get chilly."
255,Vanessa,2, How masculine...
256,Jerry,2," Plus I'm wearing short sleeves, I don't want to expose my 
              tattoos."
257,Roger,2," [To Vanessa] Hey, this guy says he knows Bricker..."
258,Vanessa,2," Oh, you know Bricker! From where?"
259,Jerry,2," [To himself] What's going on here? Gotta be her boyfriend, 
              she's"
260,Vanessa,2, [To Jerry] How do you know Pamela?
261,Jerry,2, Friend of a friend. And you?
262,Vanessa,2, We went to law school together.
263,Elaine,2," Oh, Jerry!"
264,Jerry,2," [To himself] Oh no, not *now*..."
265,Elaine,2, I had this dream last night and you were in it.
266,Jerry,2," Oh really... [To himself] Oh God, I gotta get out of this..."
267,Elaine,2," You were you, but, you weren't you..."
268,Jerry,2," No kidding... [To himself] Why is this happening? Please, 
              make "
269,Elaine,2," I think, I think we were in my house where I grew up, and 
              you were "
270,Jerry,2, [To himself] This is *brutal*...
271,Elaine,2, You turned around and you had these wooden teeth...
272,Jerry,2," How do you like that... [To himself] Can I turn now? Is 
              this "
273,Elaine,2, Jerry? Are you listening to me?
274,Jerry,2," Yes, I *heard* you."
275,Pamela,2," Elaine, what's the name of that jewelry store you took 
              me to that "
276,Jerry,2," [To himself] Thank *you*, Pamela!"
277,Jerry,2," [To Vanessa] So, you're a lawyer..."
278,Vanessa,2," Sagman, Bennet, Robbins, Oppenheim and Taft."
279,Jerry,2," [To himself, quickly] Sagman, Bennet, Robbins, Oppenheim 
              and Taft. "
280,Vanessa,2," Oh, that was you!"
281,Jerry,2," Imagine, spelling ""Mom"" with two O's..."
282,Vanessa,2, Very funny! What do you do?
283,Jerry,2, Comedian.
284,Vanessa,2, Really... That explains it...
285,Jerry,2," [To himself, quickly] Sagman, Bennet, Robbins, Oppenheim 
              and Taft."
286,Roger,2, Are you ready?
287,Vanessa,2, We gotta run. Happy birthday!
288,Jerry,2," [To himself] I can't believe it-- I got *nothing*! I don't 
              even "
289,Jerry,2," [To himself, *very* quickly] Sagman, Bennet, Robbins, Oppenheim 
              and "
290,Jerry,2," That wasn't so bad, really..."
291,Elaine,2," Y'know, uh, you could use a little work on your manners."
292,Jerry,2, Why? What did I do?
293,Elaine,2," Well, I just don't appreciate these little ""courtesy 
              responses"", "
294,Jerry,2, I was listening!
295,Elaine,2," No! You couldn't wait to get back to your little... ""conversation""."
296,Jerry,2," No, you were talking about the, the um, the dream you had."
297,Elaine,2, Uh-huh...
298,Jerry,2," Where you had, uh, wooden teeth."
299,Elaine,2," No! No! *You* had wooden teeth! *You* had wooden teeth! 
              *I* "
300,Jerry,2," Alright, so *I* had wooden teeth, so what?"
301,Elaine,2, So nothing... Nothing...
302,Jerry,2," Apparently Plato, who came up with the concept of the platonic 
            "
303,"you there were guys who tried to do it, just went",2," ``Hi, my name's 
            "
304,Jerry,2, Hey!
305,Morty,2," Ah, there he is!"
306,Jerry,2," This is what I like, see? You come home and your parents 
              are in your"
307,Helen,2," Y'know, Jerry, we don't have to do this..."
308,Jerry,2," What are you talkin' about? It's fine, I love having you 
              here..."
309,Helen,2, Tomorrow we'll go to a hotel.
310,Jerry,2," Ma, will you stop?"
311,Helen,2," No, why should we take over your apartment?"
312,Jerry,2, I don't care-- I'm sleeping next door.
313,Helen,2, Your friend Kramer doesn't mind?
314,Jerry,2," No, he's making a bouillabaisse."
315,Jerry,2," So Dad, lemme ask you a question. How many people work at 
              these big"
316,Morty,2, Depends on the firm.
317,Jerry,2," Yeah, but if you called up and described someone, do you 
              think they "
318,Morty,2, What's the matter? You need a lawyer?
319,Jerry,2," No, I met someone at this party, and I know where she works, 
              but I "
320,Morty,2, So why don't you ask someone who was at the party?
321,Jerry,2," Nah, the only one I could ask is Elaine, and I can't ask 
              her."
322,Helen,2, Why not?
323,Jerry,2, Because it's complicated-- there's some tension there.
324,Helen,2, He used to go with her...
325,Helen,2, Which one is she?
326,Morty,2," From Maryland. The one who brought you the chocolate covered 
            "
327,Morty,2," Oh yeah, very alert. Warm person."
328,Jerry,2," Oh yeah, she's great."
329,Helen,2," So, how come nothing materialized there?"
330,Jerry,2," Well, it's a tough thing to talk about... I dunno..."
331,Helen,2, I know what it was...
332,Jerry,2, You don't know what it was...
333,Helen,2," So, what was it?"
334,Jerry,2," Well, we fight a lot for some reason..."
335,H + M,2," Oh, well..."
336,Jerry,2, And there was a little problem with the physical chemistry...
337,Helen,2," Well, I think she's a very attractive girl."
338,Jerry,2," Oh, she is, she absolutely is."
339,Helen,2, I can see if there was a *weight* problem...
340,Jerry,2," No, it's not that. It wasn't all one-sided."
341,Helen,2," You know, you can't be so particular. Nobody's perfect."
342,Jerry,2," I know, I know..."
343,Morty,2," Y'know Jerry, it's a good thing I wasn't so particular."
344,Helen,2," Idiot... [To Jerry] So who're you looking for, Sophia Loren?"
345,Jerry,2, That's got *nothin'* to do with it.
346,Morty,2, How about Loni Anderson?
347,Helen,2, Where do you get Loni Anderson?
348,Morty,2," Why, what's wrong with Loni Anderson?"
349,Helen,2, I like *Elaine* more than Loni Anderson...
350,Jerry,2," What are you two talking about? Look, Elaine just wasn't 
              ""the one""."
351,Helen,2," And this other one's ""the one""?"
352,Jerry,2," I dunno, maybe..."
353,Morty,2, So ask Elaine there for the number.
354,Jerry,2," I can't-- she'll get upset. I never talk about other women 
              with her,"
355,Helen,2, How could you still see her if your not interested?
356,Jerry,2, We're *friends*.
357,Morty,2," Doesn't sound like you're friends to me. If you were friends 
              you'd "
358,Jerry,2, Oh yeah...
359,Morty,2," Well, go up to the office."
360,Helen,2, Up to her office?
361,Morty,2," Go to the building. She goes out to lunch, doesn't she?"
362,Jerry,2, I guess...
363,Morty,2," So, you stand in the lobby, by the elevator, and wait for 
              her to "
364,Jerry,2," You mean ""stakeout"" the lobby?"
365,Helen,2," Morty, that's ridiculous. Just ask Elaine for the number!"
366,Morty,2, He doesn't want to ask Elaine for the number.
367,Helen,2," So you've got him standing by the elevator like a *dope*! 
              What "
368,Morty,2, He pretends he *bumped* into her!
369,Jerry,2, Y'know what? This is *not* that *bad* an idea...
370,George,2, What does she look like?
371,Jerry,2, I dunno. Hard to say.
372,George,2, What actress does she remind you of?
373,Jerry,2, Loni Anderson.
374,George,2, Loni Anderson?!
375,Jerry,2," What, there's something wrong with Loni Anderson?"
376,Jerry,2," Hey listen, thanks again for running over here. I appreciate 
              it."
377,George,2," Yeah, sure. I was showing a condo on 48th st. Besides, 
              you think"
378,Jerry,2, I'm a little nervous.
379,George,2," Yeah, me too..."
380,Jerry,2," If I see her, what do I say that I'm doing here in the building?"
381,George,2, You came to see me; I work in the building.
382,Jerry,2, What do you do?
383,George,2, I'm an *architect*.
384,Jerry,2, You're an *architect*?
385,George,2, I'm not?
386,Jerry,2, I don't see architecture comin from you...
387,George,2, I suppose *you* could be an architect...
388,Jerry,2, I never said that I was the architect. Just somethin' else...
389,George,2," Alright, she's not even gonna ask, if we *see* her, which 
              is remote."
390,Jerry,2," Well what'dya want me to say, that I just wandered in here?!"
391,George,2, We're having lunch with a friend-- he works in the building.
392,Jerry,2, What is *his* name?
393,George,2, Bert... Har... bin... son. Bert Har-bin-son.
394,Jerry,2, Bert Harbinson? It sounds made up.
395,George,2," No good? Alright, how about Art... Corr..... "
396,Jerry,2, Art Corr...
397,George,2, ...velay...
398,Jerry,2, Corvelay?
399,George,2," Yeah, right."
400,Jerry,2," Well, what does *he* do?"
401,George,2, He's an importer.
402,Jerry,2," Just imports, no exports?"
403,George,2," He's an importer/exporter, okay? "
404,George,2," Say, did Elaine ever call you back?"
405,Jerry,2," No, I guess she's still mad."
406,George,2," I don't understand, you never talk to her about other women?"
407,Jerry,2, Never.
408,Jerry,2, Wait a second... That's her... on the right.
409,George,2, I forgot who I am! Who am I?!
410,Jerry,2, You're you. We're having lunch with Art Corvelay.
411,George,2, Vandelay!
412,Jerry,2, Corvelay!
413,George,2," Let me be the architect, I can do it!"
414,Jerry,2," Hey, hey... Pamela's birthday party, didn't I see you there... 
            "
415,Vanessa,2, Sure! Hi!
416,Jerry,2," This is George. [""Grasps"" for her name] I'm sorry..."
417,Vanessa,2, Vanessa.
418,George,2, Nice to meet you.
419,Jerry,2," Ah, Sagman, Bennet, Robbins, Oppenheim and Taft."
420,Vanessa,2, That's right! What're you doing here?
421,Jerry,2," Oh, were meeting a friend of ours for lunch. He works here 
              in the"
422,George,2," Yeah, Art *Vandelay*."
423,Vanessa,2, Really? Which company?
424,Jerry,2, I don't know. He's an importer.
425,Vanessa,2, Importer?
426,George,2, ...And exporter.
427,Jerry,2, He's an importer/exporter.
428,George,2," I'm, uh, I'm an architect."
429,Vanessa,2, Really. What do you design?
430,George,2," Uh, railroads, uh..."
431,Vanessa,2, I thought engineers do that.
432,George,2, They can...
433,Jerry,2, Y'know I'm sorry you had to leave so early the other night.
434,Vanessa,2," Oh, me too. My cousin had to go back to Boston."
435,Jerry,2," Oh, that guy was your *cousin*!"
436,Vanessa,2," Yeah, and that woman was your--"
437,Jerry,2, Friend!
438,George,2," I'll just, uh, get a paper..."
439,Jerry,2," So, um, do you date immature men?"
440,Vanessa,2, Almost exclusively...
441,Helen,2, Bum bum bum bum... I have no letters... Bum bum bum bum...
442,Jerry,2," Ma, will you go already?"
443,Helen,2, Bum bum bum bum...
444,Jerry,2, What are you doing?!
445,Helen,2," Wait, I just want to see something..."
446,Jerry,2," You can't look in there, we're playing!"
447,Morty,2," Evening, Mr. Kramer!"
448,Kramer,2, Hey Morty! [To Jerry] Salad dressing?
449,Jerry,2, Look.
450,Helen,2," ""Quo""? Is that a word?"
451,Jerry,2, Maybe!
452,Helen,2, Will you challenge it?
